I can just image a someones reaction when a person other than the driver  gets out from the car and the makes the car go into the garage without being in it,I can just image a someones reaction when a person other than the driver  gets out from the car and the makes the car go into the garage without being in it
"I'm poor T_T

yes I'm really crying","I'm poor T_T

yes I'm really crying"
C'est joli,It's pretty
,
"wait, so the summon feature just means it pull itself out of the garage?","wait, so the summon feature just means it pull itself out of the garage?"
They should make solar electric cars.,They should make solar electric cars.
Next it'll have to learn to self charge,Next it'll have to learn to self charge
do they still have this ??,do they still have this ??
sir when you launch tesla in "INDIA",sir when you launch tesla in "INDIA"
Still gotta walk into the garage to plug the car in and unplug it.,Still gotta walk into the garage to plug the car in and unplug it.
i will never afford one of these cars ive never had a nice car my whole life theve all been beaters :-( id love to have one of these,i will never afford one of these cars ive never had a nice car my whole life theve all been beaters :-( id love to have one of these
"yeah, like i woul'nt drive my tesla every meter i can","yeah, like i woul'nt drive my tesla every meter i can"
But if it's raining I'm driving myself into the garage. Kinda pointless lol but I understand the early idea.,But if it's raining I'm driving myself into the garage. Kinda pointless lol but I understand the early idea.
"First they did this with a rocket then a car, what's next? I'd auto park it at a McDonald's get a Big Mac then auto park it at home to retrieve my big mac, all while never leaving the tv. I've got all kinds of more great ideas like that big mac story, it's not how you auto park your car, it's what you do with it, you better learn that one","First they did this with a rocket then a car, what's next? I'd auto park it at a McDonald's get a Big Mac then auto park it at home to retrieve my big mac, all while never leaving the tv. I've got all kinds of more great ideas like that big mac story, it's not how you auto park your car, it's what you do with it, you better learn that one"
"With these capabilities it really makes me worried.
What are the chances of someone hacking in and driving your car away.
And even more importanly, like apple and all other major companies - will you give access to sensors/recorders to government? For example, if i get in an accident and drive away - will you send the results? If not paying taxes or parking in a wrong spot - cani get wheel-clamps of 21st century so that i wouldn't be able to drive?
It mught sound ridiculous now, but after all security and privacy problems you can expect anything.","With these capabilities it really makes me worried.
What are the chances of someone hacking in and driving your car away.
And even more importanly, like apple and all other major companies - will you give access to sensors/recorders to government? For example, if i get in an accident and drive away - will you send the results? If not paying taxes or parking in a wrong spot - cani get wheel-clamps of 21st century so that i wouldn't be able to drive?
It mught sound ridiculous now, but after all security and privacy problems you can expect anything."
can i summon a tesla without a key?,can i summon a tesla without a key?
Thumbs down because you won't let me have the feature because I am in Canada.,Thumbs down because you won't let me have the feature because I am in Canada.
"impressive show of technology but this seems more like a stepping stone and a publicity stunt than anything useful at this point, anyone who can afford this car is going to be entering and exiting from inside their garage...or maybe I'm missing something","impressive show of technology but this seems more like a stepping stone and a publicity stunt than anything useful at this point, anyone who can afford this car is going to be entering and exiting from inside their garage...or maybe I'm missing something"
And then i rides down the stairs.,And then i rides down the stairs.
Hi,Hi
"soon you will send your Tesla to make some money with Uber while you stay at the office...   ...""Hey car, go and pay for yourself!""","soon you will send your Tesla to make some money with Uber while you stay at the office...   ...""Hey car, go and pay for yourself!"""
Rich people,Rich people
Elon how about a Model S give away?????,Elon how about a Model S give away?????
My garage is connected to the house via a man-door so why would I get out of my car before I am parked comfortably and safely inside? What happens when some dumbass forgets to unplug his car before telling it to leave the garage?,My garage is connected to the house via a man-door so why would I get out of my car before I am parked comfortably and safely inside? What happens when some dumbass forgets to unplug his car before telling it to leave the garage?
"Too slow, should be able to drift out or something and turn around so it's ready to drive out straight away","Too slow, should be able to drift out or something and turn around so it's ready to drive out straight away"
YO Tesla boys stop using 18650 batteries and build your own batts like Nissan does. Seriously if you build The model 3 with 18650 i will get on a plane come to USA and show you how it's done.,YO Tesla boys stop using 18650 batteries and build your own batts like Nissan does. Seriously if you build The model 3 with 18650 i will get on a plane come to USA and show you how it's done.
???? ?????,Ahmed Galbeir
"this is useless, it would be great if it auto charges it self when it arrive to the garage. At the end somebody will need to enter to the garage an manually put the charger...","this is useless, it would be great if it auto charges it self when it arrive to the garage. At the end somebody will need to enter to the garage an manually put the charger..."
just like watch dogs,just like watch dogs
"e3dc sonotesla 
sektorentor","A 5 DC Shontesla
Sessentore"
++++++++++++++,++++++++++++++
My cat can do that.,My cat can do that.
I like the car but are people really this lazy as to back it out themselves?,I like the car but are people really this lazy as to back it out themselves?
"So you really want to risk killing someone because you're too lazy to get the car out yourself... you really want to risk that...
that one sensor at the back was a bit faulty and didn't catch your granddaughter sitting in the driveway playing so the car ran right over her, so now you can you can use the auto pilot to summon you car to go to the funeral... good luck with that.. enjoy","So you really want to risk killing someone because you're too lazy to get the car out yourself... you really want to risk that...
that one sensor at the back was a bit faulty and didn't catch your granddaughter sitting in the driveway playing so the car ran right over her, so now you can you can use the auto pilot to summon you car to go to the funeral... good luck with that.. enjoy"
elon musk could u give me a free one pleas?,elon musk could u give me a free one pleas?
Last,Last
Freddy te geef the Fred hubert UvT t.z.t. geef te,Freddy te geef the Fred hubert UvT t.z.t. geef te
So the car can crawl forward and backwards. WOW BIG FUCKING DEAL. TRASH!!!!,So the car can crawl forward and backwards. WOW BIG FUCKING DEAL. TRASH!!!!
Never works on my model Y.  Tesla is such mediocre garbage.,Never works on my model Y.  Tesla is such mediocre garbage.
Freddy te geef the Fred hubert UvT t.z.t. geef te,Freddy te Give the Fred Hubert UVT T.Z.T. Give to
?Original Comment,Translated Comment
Watch the full Fremont Factory drive here – https://x.com/Tesla_AI/status/1884458086859170050,Watch the full Fremont Factory drive here – https://x.com/Tesla_AI/status/1884458086859170050
This feels like the intro for a new fallout series,This feels like the intro for a new fallout series
Going to be crazy when it self-drives from factory to your house!,Going to be crazy when it self-drives from factory to your house!
Imagen your Tesla driving itself back to the dealership because you missed a payment,Imagen your Tesla driving itself back to the dealership because you missed a payment
whoever come up with this idea should get a raise,whoever come up with this idea should get a raise
I love how they're using their turn signals which is totally necessary in this scenario.,I love how they're using their turn signals which is totally necessary in this scenario.
The future is autonomous.,The future is autonomous.
Imagine it self-drives to the police station if someone tries to steal your car or hospital when you pass out while driving.,Imagine it self-drives to the police station if someone tries to steal your car or hospital when you pass out while driving.
its the auto stacking the parking lot that gets me. Amazing.,its the auto stacking the parking lot that gets me. Amazing.
This is one of many moments people will look back on and wonder why they doubted that FSD would solve autonomy.,This is one of many moments people will look back on and wonder why they doubted that FSD would solve autonomy.
"When you ordered a car, the car is automatically driving itself from factory to your house","When you ordered a car, the car is automatically driving itself from factory to your house"
Patiently waiting for a Tesla to drive itself to your house would be some funny.,Patiently waiting for a Tesla to drive itself to your house would be some funny.
They should drive themselves for delivery as well!,They should drive themselves for delivery as well!
"dang, now i love my model y more than ever","dang, now i love my model y more than ever"
Crazy how that had to be done by people. So much time and money saved,Crazy how that had to be done by people. So much time and money saved
this is screaming new chapter of humanity...,this is screaming new chapter of humanity...
This comment section is a perfect example of dead internet theory...,This comment section is a perfect example of dead internet theory...
Best car I've ever had!,Best car I've ever had!
I just want to fall asleep in my car getting off work and wake up when i get home.,I just want to fall asleep in my car getting off work and wake up when i get home.
damn they really did the self driving really good,damn they really did the self driving really good
wait why is this actually kinda sick,wait why is this actually kinda sick
How crazy would it be if YOUR Tesla was featured in this video?,How crazy would it be if YOUR Tesla was featured in this video?
Does it do the salute as well?,Does it do the salute as well?
"I work at a Toyota factory and cars coming off the line always have the right of leaving the factory. There would be no stop sign and that forklift driver would have been fired for making the car stop for him.
Neither system is wrong or right. They just have different ways of doing things.","I work at a Toyota factory and cars coming off the line always have the right of leaving the factory. There would be no stop sign and that forklift driver would have been fired for making the car stop for him.
Neither system is wrong or right. They just have different ways of doing things."
"As someone who's eagerly awaiting their launch edition MY.    I'd be cool to see the Sentry Mode footage when my car is birthed as it does its inaugural move to the shipping area.

Ford did something ""similar"" where they showed the inspection photo as my F150L rolled off the line.    But I think Tesla can do better!","As someone who's eagerly awaiting their launch edition MY.    I'd be cool to see the Sentry Mode footage when my car is birthed as it does its inaugural move to the shipping area.

Ford did something ""similar"" where they showed the inspection photo as my F150L rolled off the line.    But I think Tesla can do better!"
"self-driving is new technology now makes us say 'wow,' but it will become ordinary for us someday,    In the future, we will see fantastic things","self-driving is new technology now makes us say 'wow,' but it will become ordinary for us someday,    In the future, we will see fantastic things"
"It used to be that when you got a new Tesla, the FSD features wouldn't work until you had driven a bit and it calibrated.  Clearly that's not an issue anymore.  This should be coming to Texas and other factories soon.","It used to be that when you got a new Tesla, the FSD features wouldn't work until you had driven a bit and it calibrated.  Clearly that's not an issue anymore.  This should be coming to Texas and other factories soon."
i got a chuckle out of this.  still in hw3 for me.  but i see good things in the future for tesla and fsd.,i got a chuckle out of this.  still in hw3 for me.  but i see good things in the future for tesla and fsd.
Would like to see this over a whole shift and not only in a short promotion video with a lot of cuts.,Would like to see this over a whole shift and not only in a short promotion video with a lot of cuts.
teslas drving into the semi themselves and the semi's driving by themselves to the dealerships would be crazy,teslas drving into the semi themselves and the semi's driving by themselves to the dealerships would be crazy
Never forget to pay your lease guys,Never forget to pay your lease guys
My FSD is working so well.     Great job Tesla !!!!!,My FSD is working so well.     Great job Tesla !!!!!
Very well done Tesla! The next step is for the car to pay itself!!,Very well done Tesla! The next step is for the car to pay itself!!
Tesla FSD is the future,Tesla FSD is the future
last week i asekd myself why tesla dont do this allready… now i see this. hell yeah.,last week i asekd myself why tesla dont do this allready… now i see this. hell yeah.
Where did my car go? (Checks cameras) Why did my car drive away by itself?!?!,Where did my car go? (Checks cameras) Why did my car drive away by itself?!?!
"very cool, with a great music choice!","very cool, with a great music choice!"
"If Cybertruck is the future, then what’s next? Cyberbike?","If Cybertruck is the future, then what’s next? Cyberbike?"
Imagine u buy a Tesla and it just… drives to your house itself,Imagine u buy a Tesla and it just… drives to your house itself
"I tested a Tesla in Fremont last month. When I tried the FSD to drive me back to the store, this was the parking lot my Tesla drove me to...  Now I know why.","I tested a Tesla in Fremont last month. When I tried the FSD to drive me back to the store, this was the parking lot my Tesla drove me to...  Now I know why."
Wow. No 100 km to calibrate the cameras first?,Wow. No 100 km to calibrate the cameras first?
"UNSUPERVISED FSD is almost here!!! 
Good Job tesla!","UNSUPERVISED FSD is almost here!!! 
Good Job tesla!"
this is like how elon musk pays someone to play that one game,this is like how elon musk pays someone to play that one game
music choice always on top,music choice always on top
Tesla is the future,Tesla is the future
Wild! I love it!,Wild! I love it!
Disappointed the truck wasn't self-driving too.,Disappointed the truck wasn't self-driving too.
sta roba è fuori di testa,this stuff is out of the head
0:30 anyone else getting the Obama movie "Leave the World Behind" vibes!?!?!?!?,0:30 anyone else getting the Obama movie "Leave the World Behind" vibes!?!?!?!?
Imagine a cop trying pull this over for closed mirrors.,Imagine a cop trying pull this over for closed mirrors.
Hardest part of driving a Tesla model  ss is getting the swastika tattoo,Hardest part of driving a Tesla model  ss is getting the swastika tattoo
Do they drive themselves on and off the trucks?,Do they drive themselves on and off the trucks?
? love Tesla,? love Tesla
"Could we please make automatic parking a standard feature for us Tesla owners. I have M3 and I'm based in Australia. One Xmas, auto parking and summon were given as a present just for trial. use. Other cars have auto park. About time we can have it standard on the next update!!! Please.","Could we please make automatic parking a standard feature for us Tesla owners. I have M3 and I'm based in Australia. One Xmas, auto parking and summon were given as a present just for trial. use. Other cars have auto park. About time we can have it standard on the next update!!! Please."
"This is super awsome !!! Keep dropping these videos, every one is something new","This is super awsome !!! Keep dropping these videos, every one is something new"
Just wait till the trucks can self-drive!,Just wait till the trucks can self-drive!
"Flaws and setbacks aside, this company quite frankly brought us into the future. I've never seen another company this ground breaking in my 34 year old life. It inspired other car makers to follow suit.","Flaws and setbacks aside, this company quite frankly brought us into the future. I've never seen another company this ground breaking in my 34 year old life. It inspired other car makers to follow suit."
Even autonomous cars signal for each other.,Even autonomous cars signal for each other.
YES!!! WE ARE PATIENTLY WAITING!!!!!,YES!!! WE ARE PATIENTLY WAITING!!!!!
"Love FSD as I been on it for 2 years but what about security gates, tolls ect.","Love FSD as I been on it for 2 years but what about security gates, tolls ect."
Tesla Model SS when?,Tesla Model SS when?
Really wanted to buy this in Canada,Really wanted to buy this in Canada
omg what a time to be alive. henry ford would be proud,omg what a time to be alive. henry ford would be proud
??? ????? ????? ??? ??? ????? ??? ????? ??? ??? ?????? ???? ???????,"If it continues this way, no one will need a driving license exam"
Can't wait for this upgrade in Giga Berlin! FSD in Europe let's go!,Can't wait for this upgrade in Giga Berlin! FSD in Europe let's go!
The Julia Roberts movie Leave the World Behind is coming to life haha.,The Julia Roberts movie Leave the World Behind is coming to life haha.
You're doing amazing things. Keep it up,You're doing amazing things. Keep it up
I love it!!!,I love it!!!
Why stop there? Why can't they drive to my house after I purchase one?,Why stop there? Why can't they drive to my house after I purchase one?
How much u pay for normal electricity? If we compare it to Tesla charging spots shouldnt the normal electer cost the same much? Or is the electer so last season?,How much u pay for normal electricity? If we compare it to Tesla charging spots shouldnt the normal electer cost the same much? Or is the electer so last season?
This is brilliant! You always find to impress.,This is brilliant! You always find to impress.
Nearly missed that third right turning. Schneil !!!!,Nearly missed that third right turning. Schneil !!!!
It'll be crazy when it'll come to the airport to pick me up.,It'll be crazy when it'll come to the airport to pick me up.
How long did it take the 1st car to go 1.3 miles?   It was day and day turned into night.,How long did it take the 1st car to go 1.3 miles?   It was day and day turned into night.
If only this company was owned by a good person,If only this company was owned by a good person
Is there a “I am late” mode?,Is there a “I am late” mode?
"BMW and Mercedes watching like, huh is this news","BMW and Mercedes watching like, huh is this news"
I just want the new model Y now please its going to be my first EV ever and I wanted the best and that's Tesla Keep up the good work,I just want the new model Y now please its going to be my first EV ever and I wanted the best and that's Tesla Keep up the good work
When will the tesla model SS comes out?,When will the tesla model SS comes out?
Imagine seeing your car driving itself back to the dealership when the lease ends,Imagine seeing your car driving itself back to the dealership when the lease ends
"Just 3 words crasy, amazing, marvellous","Just 3 words crasy, amazing, marvellous"
"Nice! Who drives them on the ramp?
When is self driving to home an option?","Nice! Who drives them on the ramp?
When is self driving to home an option?"
"And this is the WORST that FSD will ever be, imagine that.","And this is the WORST that FSD will ever be, imagine that."
"This is so awesome to see! It'll be so cool when these cars drive to you from the factory, and eventually, all over the world! Keep killing it Tesla team!","This is so awesome to see! It'll be so cool when these cars drive to you from the factory, and eventually, all over the world! Keep killing it Tesla team!"
"Can we get a salute from the right windshield wiper, please?","Can we get a salute from the right windshield wiper, please?"
"At my place, this car would stop indefinitely for other people to leave.","At my place, this car would stop indefinitely for other people to leave."
The song choice is perfect!,The song choice is perfect!
I'm confused. Shouldn't they have those paint protection film things adhered at this point? Or do those not get applied in the factory?,I'm confused. Shouldn't they have those paint protection film things adhered at this point? Or do those not get applied in the factory?
I’ll buy one when there’s a decent President again.,I’ll buy one when there’s a decent President again.
"Please, make a smaller Tesla (model 2 / Q) for Europe (we have narrow streets and no parking spaces)","Please, make a smaller Tesla (model 2 / Q) for Europe (we have narrow streets and no parking spaces)"
Musk ????,Musk ????
If teslas can do this imagine you see a tesla just casually self driving to a place,If teslas can do this imagine you see a tesla just casually self driving to a place
woww se ven hermosos,Woww look beautiful
Heil my heart to that!!,Heil my heart to that!!
Stupid background music plays along with the cheesy advertisements.,Stupid background music plays along with the cheesy advertisements.
Fantastico. Tesla é avanti Anni Luce!,Fantastic.Tesla is light years ahead!
"Imagine waking up to a fully charged car that drove itself to a Supercharger while you slept. At night, Superchargers are mostly idle, and electricity prices drop, making it far cheaper than home charging. This could be a game-changer for EV ownership!","Imagine waking up to a fully charged car that drove itself to a Supercharger while you slept. At night, Superchargers are mostly idle, and electricity prices drop, making it far cheaper than home charging. This could be a game-changer for EV ownership!"
the Reichswagon,the Reichswagon
And if they make a visual mistake how fast can they stop them before a dozen or more are in the sea?,And if they make a visual mistake how fast can they stop them before a dozen or more are in the sea?
It’s gonna self drive into poland,It’s gonna self drive into poland
FSD is so helpful it’s helped so much with a young rescue restless pup at the back  it’s the best tech ever on the other hand thanks for making millions of people loose their jobs soon,FSD is so helpful it’s helped so much with a young rescue restless pup at the back  it’s the best tech ever on the other hand thanks for making millions of people loose their jobs soon
Would’ve bought this before Elon went crazy,Would’ve bought this before Elon went crazy
"Imagine seeing a car, unwrapped, driving by itself, must be so creepy","Imagine seeing a car, unwrapped, driving by itself, must be so creepy"
"It's just fantastic, and what an exciting future it will be with Tesla and Elon Musk. Elon is my favorite hero of all time.","It's just fantastic, and what an exciting future it will be with Tesla and Elon Musk. Elon is my favorite hero of all time."
How would this function in heavy snow or heavy rain with low visibility?,How would this function in heavy snow or heavy rain with low visibility?
Hmm comment section seems a lil too friendly for what’s been going on recently,Hmm comment section seems a lil too friendly for what’s been going on recently
"FANTASTIC VIDEO, THANKS YOU, FROM MALAGA SPAIN","FANTASTIC VIDEO, THANKS YOU, FROM MALAGA SPAIN"
Tesla is the most innovative company. Change my mind,Tesla is the most innovative company. Change my mind
It’s all cool until you have a warrant and the car locks its doors and takes yo ass right to the police station,It’s all cool until you have a warrant and the car locks its doors and takes yo ass right to the police station
I‘m patiently waiting for FSD availability in Germany.,I‘m patiently waiting for FSD availability in Germany.
Does it hard brake at green lights on occasion?,Does it hard brake at green lights on occasion?
Let’s go Tesla!,Let’s go Tesla!
Could it drive into a dark pit instead?,Could it drive into a dark pit instead?
Dope swasticars,Dope swasticars
next its gonna be self delivery,next its gonna be self delivery
"They can stay at the factory thanks, not supporting a fascist!","They can stay at the factory thanks, not supporting a fascist!"
Thieves and hackers: taking notes,Thieves and hackers: taking notes
It's happening!,It's happening!
awesome!,awesome!
Tesla sales are tanking!!,Tesla sales are tanking!!
love the vibes,love the vibes
"I'd love to see an uncut/single take of this glorious event from the time the 1st car was shown off load until the last car rolled into place.   My 24 Y  hw4 13.2.2 seems to have a hard time getting me to within a block of some addresses in my areas.  Is Tesla suggesting that there weren't any offscreen operators manipulating any of these vehicles in any way?   Based on my own experiences, I'm more than a bit skeptical.","I'd love to see an uncut/single take of this glorious event from the time the 1st car was shown off load until the last car rolled into place.   My 24 Y  hw4 13.2.2 seems to have a hard time getting me to within a block of some addresses in my areas.  Is Tesla suggesting that there weren't any offscreen operators manipulating any of these vehicles in any way?   Based on my own experiences, I'm more than a bit skeptical."
Adding miles to a new car and getting rid of delivery drivers.,Adding miles to a new car and getting rid of delivery drivers.
Self-Driving from democracy to oligarchy.,Self-Driving from democracy to oligarchy.
This is a Future,This is a Future
Tesla FSD,Tesla FSD
"If any one loan EMI remaining outstanding, Tesla car may go to the factory self driven. All to remember.","If any one loan EMI remaining outstanding, Tesla car may go to the factory self driven. All to remember."
Very impressive!,Very impressive!
This sounds like the intro of a movie before the government collapses and robots take over the world.,This sounds like the intro of a movie before the government collapses and robots take over the world.
???? ???,Tesla is crazy
Awesome!,Awesome!
"Wow this company is the coolest in the world, what would we do without technology of that type","Wow this company is the coolest in the world, what would we do without technology of that type"
This is the only use of self-driving that I would trust,This is the only use of self-driving that I would trust
Man I love my car and the company but not the person behind it. Such a shame,Man I love my car and the company but not the person behind it. Such a shame
Was that a monitoring crew at the end of the line - last car turning into the arriving line?,Was that a monitoring crew at the end of the line - last car turning into the arriving line?
The muskazi has done well!,The muskazi has done well!
I thought this is a T-Series channel for a while,I thought this is a T-Series channel for a while
Looking forward to this being applied to the Cybertruck!,Looking forward to this being applied to the Cybertruck!
I wonder how the cameras calibrate for FSD so quickly considering how much you need to drive it around now xD,I wonder how the cameras calibrate for FSD so quickly considering how much you need to drive it around now xD
Fun fact: Most of the Tesla buyers forget who's the guy that they are supporting by buying these cars,Fun fact: Most of the Tesla buyers forget who's the guy that they are supporting by buying these cars
This reminds me of .....leave the world behind,This reminds me of .....leave the world behind
"Sorry, but I had 3 interventions on a 7 mile drive today, still work to do... Love my X!","Sorry, but I had 3 interventions on a 7 mile drive today, still work to do... Love my X!"
"“Only an hour on the Steam Deck!”

Yeah, that’s because it’s rendering and processing FULL GAMES THAT WERE ORIGINALLY DESIGNED TO BE RAN ON HIGH-POWER DEDICATED HARDWARE. And it shows. While graphics quality can suffer slightly on higher end games, you can play, for example, Death Stranding Director’s Cut on very decent graphics settings and get a stable 60 fps. It’s very surprising what the Steam Deck can pull off.

And the switch still has major performance issues with some games that were literally designed for it.","“Only an hour on the Steam Deck!”

Yeah, that’s because it’s rendering and processing FULL GAMES THAT WERE ORIGINALLY DESIGNED TO BE RAN ON HIGH-POWER DEDICATED HARDWARE. And it shows. While graphics quality can suffer slightly on higher end games, you can play, for example, Death Stranding Director’s Cut on very decent graphics settings and get a stable 60 fps. It’s very surprising what the Steam Deck can pull off.

And the switch still has major performance issues with some games that were literally designed for it."
Unbelievable,Unbelievable
Aww man I really wanted one of those cars.,Aww man I really wanted one of those cars.
Does it also come with automatically  forward extended windshield wipers like your CEO?,Does it also come with automatically  forward extended windshield wipers like your CEO?
When is the tesla semi going to be released to companys that use semis?,When is the tesla semi going to be released to companys that use semis?
Such a shame that buying one of these is inevitably supporting the far right and supporting government subsidies all at the same time.,Such a shame that buying one of these is inevitably supporting the far right and supporting government subsidies all at the same time.
Does this require HW4?,Does this require HW4?
Thought they were going to arrange themselves to a swastika at the end. Disappointed.,Thought they were going to arrange themselves to a swastika at the end. Disappointed.
Great new for the docker,Great new for the docker
"...and yet, you still can't make self drivng work in a tunnel","...and yet, you still can't make self drivng work in a tunnel"
Imagine your online ordered Tesla drives to your house from the dealer,Imagine your online ordered Tesla drives to your house from the dealer
SwastiCars? Not interested.,SwastiCars? Not interested.
"When that day comes, no reason to own any","When that day comes, no reason to own any"
A damn shame about the CEO,A damn shame about the CEO
"So when self driving gets cracked by a different company, and it is made open source. What happens to the value of Tesla? 

And where is the roadster?","So when self driving gets cracked by a different company, and it is made open source. What happens to the value of Tesla? 

And where is the roadster?"
Love my Model 3. But Elon stops me from ever getting a Tesla again :/,Love my Model 3. But Elon stops me from ever getting a Tesla again :/
What does the light tunnel do? Looks like it has cameras in it?,What does the light tunnel do? Looks like it has cameras in it?
5 views is diabolical,5 views is diabolical
It was a dumb movie but... this clip is just like the scene from "The End of Us" on Netflix.,It was a dumb movie but... this clip is just like the scene from "The End of Us" on Netflix.
Don’t buy a SWASTICAR …,Don’t buy a SWASTICAR …
Next level loading by itself.,Next level loading by itself.
Boycott Tesla!,Boycott Tesla!
"imagine you spec your brand new tesla on the website and buy it, instead of going to the dealer it just drives over to your house","imagine you spec your brand new tesla on the website and buy it, instead of going to the dealer it just drives over to your house"
Unionize that,Unionize that
"Are you kidding? Its 2025, where is the long promised FSD usable on actual roads?","Are you kidding? Its 2025, where is the long promised FSD usable on actual roads?"
That looks so strange with the seats wrapped and everything,That looks so strange with the seats wrapped and everything
Are these the swasticars everybody is talking about?,Are these the swasticars everybody is talking about?
I wonder if they are gonna refresh the Model X and the Roadster,I wonder if they are gonna refresh the Model X and the Roadster
Elon that's wreckless endangerment,Elon that's wreckless endangerment
"It’s got the opening scene of Short Circuit vibes, then one of them gets hit by lightning and becomes self aware!","It’s got the opening scene of Short Circuit vibes, then one of them gets hit by lightning and becomes self aware!"
Self driving swasticars! Do they goose step too?,Self driving swasticars! Do they goose step too?
Amazing!,Amazing!
Those cars are obeying orders quite well. Just like good old Germans in the 40's.,Those cars are obeying orders quite well. Just like good old Germans in the 40's.
Every car is a robot doing its job.,Every car is a robot doing its job.
Interesting that they all took the third reich,Interesting that they all took the third reich
Let's goooooo!!! GFTX is next!,Let's goooooo!!! GFTX is next!
Every Tesla will now be shipped with a copy of Mein Kampf!,Every Tesla will now be shipped with a copy of Mein Kampf!
Why is this not the Vegas tunnels?,Why is this not the Vegas tunnels?
TeSSla,Tessla
Patiently Waiting - Kyle Cox,Patiently Waiting - Kyle Cox
The swasticars,The swasticars
So Tesla puts miles on their vehicles before they're even owned by making them drive to the loading dock from the factory instead of just have them delivered on a flatbed? Is the milage on the vehicle factored into the price because I'm not paying brand new prices for  a car with Miles on it.,So Tesla puts miles on their vehicles before they're even owned by making them drive to the loading dock from the factory instead of just have them delivered on a flatbed? Is the milage on the vehicle factored into the price because I'm not paying brand new prices for  a car with Miles on it.
can they self drive to auschwitz?,can they self drive to auschwitz?
From the screento the ring to the pen to the king,From the screento the ring to the pen to the king
Does it auto Nazi salute too ?,Does it auto Nazi salute too ?
This reminds me of the scene from 'Leave the world behind'.,This reminds me of the scene from 'Leave the world behind'.
Swasticars,Swasticars
Will Elon sue us if we do not buy a Tesla?,Will Elon sue us if we do not buy a Tesla?
BOYKOTT,BOYCOTT
The ONLY time the fsd actually works without eminent intervention requirements. All it means is get a steering wheel cover for your Tesla that beeps at you for even sneezing.,The ONLY time the fsd actually works without eminent intervention requirements. All it means is get a steering wheel cover for your Tesla that beeps at you for even sneezing.
heil,heil
I could watch it forever,I could watch it forever
SWASTICAR,SWASTICAR
Can I test drive a Tesla like this? But from a rental.,Can I test drive a Tesla like this? But from a rental.
"I didn't quite like the left turn the car did  
I think it should have turned a bit sooner to not cross the line on the right side of the car.","I didn't quite like the left turn the car did  
I think it should have turned a bit sooner to not cross the line on the right side of the car."
Love it!,Love it!
"For God so loved the world that he gave his only begotten Son, that whoever believes in him should not perish but have eternal life.                                               ??John 3.16","For God so loved the world that he gave his only begotten Son, that whoever believes in him should not perish but have eternal life.                                               ??John 3.16"
Amazing!,Amazing!
this is crazy!,this is crazy!
Imagine seeing a tesla pull up to your house after the purchase,Imagine seeing a tesla pull up to your house after the purchase
Still gotta keep my hands at 10/2 when I'm driving. I was supposed to be able to take a nap on my way to work back in 2018.,Still gotta keep my hands at 10/2 when I'm driving. I was supposed to be able to take a nap on my way to work back in 2018.
Take it one step further and have these cars self drive in a platoon to the dealership destination (yes it will add kms to the odometer on a new car... but what's the potential cost savings?),Take it one step further and have these cars self drive in a platoon to the dealership destination (yes it will add kms to the odometer on a new car... but what's the potential cost savings?)
Tesla controls technology. Dive  itself  Package  into.  I like this video,Tesla controls technology. Dive  itself  Package  into.  I like this video
So can Tesla waive the destination/delivery fee now?,So can Tesla waive the destination/delivery fee now?
"Me and several people I know were waiting for the new Model Y, but all agreed to get another brand because Elon. And we are not the only ones around the world. Elon is costing Tesla a lot of sales","Me and several people I know were waiting for the new Model Y, but all agreed to get another brand because Elon. And we are not the only ones around the world. Elon is costing Tesla a lot of sales"
This is like sci-fi brought to reality,This is like sci-fi brought to reality
Are semis driving themselves off the line too?,Are semis driving themselves off the line too?
TeslaFlex is gonna get surprised when he sees his New Model Y Refreshed comes to his house,TeslaFlex is gonna get surprised when he sees his New Model Y Refreshed comes to his house
So since they been driven via AI do I get a used car price when I go to a dealership?,So since they been driven via AI do I get a used car price when I go to a dealership?
Will they drive themselves to where they will be picked up by the buyer?,Will they drive themselves to where they will be picked up by the buyer?
Cant wait until the self destructing update!,Cant wait until the self destructing update!
"Do you have to know how to drive a vehicle to be suitable for this car, and do you also have to have a Driver's License?","Do you have to know how to drive a vehicle to be suitable for this car, and do you also have to have a Driver's License?"
I was sort of expecting the lorry to have no driver in it as well.,I was sort of expecting the lorry to have no driver in it as well.
how does it know what bay to park in ?,how does it know what bay to park in ?
About to get a bit more expensive,About to get a bit more expensive
This is cool!,This is cool!
too good ... cant wait,too good ... cant wait
irobot - "...now we've got robots building robots..",irobot - "...now we've got robots building robots.."
Imagine a mass self repossession procession,Imagine a mass self repossession procession
Everyone give this business to law enforcement.,Everyone give this business to law enforcement.
As long as it can self drive to your mom's house I'll be happy,As long as it can self drive to your mom's house I'll be happy
"Tesla, I tried to use Summon today and it was raining.  The car stopped in the middle of a parking lot, I think due to the heavy rain.  Summon should detect rain and turn on the windshield wipers. FYI.","Tesla, I tried to use Summon today and it was raining.  The car stopped in the middle of a parking lot, I think due to the heavy rain.  Summon should detect rain and turn on the windshield wipers. FYI."
woow ! speechless!,woow ! speechless!
How many people qould lose their livelihood because of this,How many people qould lose their livelihood because of this
"Impressing, stunning. Ghost driving works","Impressing, stunning. Ghost driving works"
